Code,Language (Script)
aar-Latn,Afar
aii-Syrc,Assyrian Neo-Aramaic
amh-Ethi,Amharic
amh-Ethi-pp,Amharic (more phonetic)
amh-Ethi-red,Amharic (reduced)
ara-Arab,Literary Arabic
ava-Cyrl,Avaric
aze-Cyrl,Azerbaijani (Cyrillic)
aze-Latn,Azerbaijani (Latin)
ben-Beng,Bengali
ben-Beng-red,Bengali (reduced)
bxk-Latn,Bukusu
cat-Latn,Catalan
ceb-Latn,Cebuano
ces-Latn,Czech
cjy-Latn,Jin (Wiktionary)
cmn-Hans,Mandarin (Simplified)\*
cmn-Hant,Mandarin (Traditional)\*
cmn-Latn,Mandarin (Pinyin)\*
ckb-Arab,Sorani
csb-Latn,Kashubian
deu-Latn,German
deu-Latn-np,German†
deu-Latn-nar,German (more phonetic)
eng-Latn,English‡
fas-Arab,Farsi (Perso-Arabic)
fra-Latn,French
fra-Latn-np,French†
fra-Latn-p,French (more phonetic)
ful-Latn,Fulah
gan-Latn,Gan (Wiktionary)
got-Latn,Gothic
hak-Latn,Hakka (pha̍k-fa-sṳ)
hau-Latn,Hausa
hin-Deva,Hindi
hmn-Latn,Hmong
hrv-Latn,Croatian
hsn-Latn,Xiang (Wiktionary)
hun-Latn,Hungarian
ilo-Latn,Ilocano
ind-Latn,Indonesian
ita-Latn,Italian
jam-Latn,Jamaican
jav-Latn,Javanese
kaz-Cyrl,Kazakh (Cyrillic)
kaz-Cyrl-bab,Kazakh (Cyrillic—Babel)
kaz-Latn,Kazakh (Latin)
kbd-Cyrl,Kabardian
khm-Khmr,Khmer
kin-Latn,Kinyarwanda
kir-Arab,Kyrgyz (Perso-Arabic)
kir-Cyrl,Kyrgyz (Cyrillic)
kir-Latn,Kyrgyz (Latin)
kmr-Latn,Kurmanji
kmr-Latn-red,Kurmanji (reduced)
lao-Laoo,Lao
lij-Latn,Ligurian
lsm-Latn,Saamia
ltc-Latn-bax,Middle Chinese (Baxter and Sagart 2014)
mal-Mlym,Malayalam
mar-Deva,Marathi
mlt-Latn,Maltese
mon-Cyrl-bab,Mongolian (Cyrillic)
mri-Latn,Maori
msa-Latn,Malay
mya-Mymr,Burmese
nan-Latn,Hokkien (pe̍h-oē-jī)
nan-Latn-tl,Hokkien (Tâi-lô)
nld-Latn,Dutch
nya-Latn,Chichewa
ood-Lat-alv,Tohono O'odham
ood-Latn-sax,Tohono O'odham
ori-Orya,Odia
orm-Latn,Oromo
pan-Guru,Punjabi (Eastern)
pol-Latn,Polish
por-Latn,Portuguese
ron-Latn,Romanian
run-Latn,Rundi
rus-Cyrl,Russian
sag-Latn,Sango
sin-Sinh,Sinhala
sna-Latn,Shona
som-Latn,Somali
spa-Latn,Spanish
spa-Latn-eu,Spanish (Iberian)
sqi-Latn,Albanian
swa-Latn,Swahili
swa-Latn-red,Swahili (reduced)
swe-Latn,Swedish
tam-Taml,Tamil
tam-Taml-red,Tamil (reduced)
tel-Telu,Telugu
tgk-Cyrl,Tajik
tgl-Latn,Tagalog
tgl-Latn-red,Tagalog (reduced)
tha-Thai,Thai
tir-Ethi,Tigrinya
tir-Ethi-pp,Tigrinya (more phonemic)
tir-Ethi-red,Tigrinya (reduced)
tpi-Latn,Tok Pisin
tuk-Cyrl,Turkmen (Cyrillic)
tuk-Latn,Turkmen (Latin)
tur-Latn,Turkish (Latin)
tur-Latn-bab,Turkish (Latin—Babel)
tur-Latn-red,Turkish (reduced)
ukr-Cyrl,Ukranian
urd-Arab,Urdu
uig-Arab,Uyghur (Perso-Arabic)
uzb-Cyrl,Uzbek (Cyrillic)
uzb-Latn,Uzbek (Latin)
vie-Latn,Vietnamese
wuu-Latn,Shanghainese Wu (Wiktionary)
xho-Latn,Xhosa
yor-Latn,Yoruba
zha-Latn,Zhuang
zul-Latn,Zulu